playerId,name,url
239172,A. Kecskes,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/43096525.png
256841,P. Matricardi,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/14047829.png
270356,I. Cristea,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/57119898.png
286011,D. Nedelcu,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/57129322.png
286009,C. Manea,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/57120897.png
292613,P. Iacob,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/57120894.png
301999,A. Miron,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/57108899.png
327219,F. Stefan,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/57128771.png
327373,M. Simic,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/24046632.png
329751,D. Lovric,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/43167651.png
329480,N. Bardea,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/42066934.png
347151,Y. Roche,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/50041933.png
346542,T. Capusa,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/57146887.png
361325,N. Samayoa,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/72051265.png
366778,I. Conte,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/48036258.png
363609,M. Popescu,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/57109569.png
366563,V. Selimovic,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/85138207.png
376565,A. Abeid,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/67225568.png
377957,L. Masoero,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/14157847.png
393264,F. Poulolo,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/67282687.png
395856,D. Maldonado,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/87039294.png
393706,J. Homawoo,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/48036389.png
410035,F. Blazek,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/63031344.png
404902,D. Harut,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/57140575.png
421354,K. Boateng,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/16199801.png
424244,D. Ciobotariu,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.02/57147984.png
